,Headline,Country
0,COVID-19 omicron variant uncertainty adds to Alabama health officials' list of concerns,Alabama
1,Alabama COVID-19 hospitalizations decline but pandemic still ongoing,Alabama
2,Alabama taking precautions in event of COVID-19 surge,Alabama
3,Update on Alabama COVID-19 numbers,Alabama
4,"Alabama COVID hospitalizations increased slightly last week, data shows",Alabama
5,Alabama COVID-19 vaccine exemption bill in position for final passage,Alabama
6,Alabama school first in weeks to go remote due to COVID increases,Alabama
7,Fauci: First US Case of COVID-19 Omicron Variant Identified - Alabama News,Alabama
8,Emergence of Omicron variant serves as reminder to get COVID-19 vaccination,Alabama
9,Few Alabama children 5 to 11 have received COVID-19 vaccine,Alabama
10,"COVID transmission decreasing across Alabama, health officials cautious ahead of holidays",Alabama
11,"Kids’ turn arrives for COVID-19 vaccine shots in the U.S., Alabama",Alabama
12,ADPH: COVID-19 Cases in Alabama Schools Fall Below 700 - Alabama News,Alabama
13,Alabama Enacts Legislation That Restricts COVID-19 Vaccine Mandates,Alabama
14,Alabama to resume prison visitations with restrictions,Alabama
15,"Founder of Alabama’s first Christian network, COVID vaccine skeptic dies of COVID",Alabama
16,"Alabama chief dies of COVID-19, regretted decision to not get vaccinated",Alabama
17,North Alabama lags state in fully vaccinated residents,Alabama
18,Mobile health official returns to Facebook for COVID-19 update as omicron enters the U.S.,Alabama
19,How is Alabama doing with vaccinating children 5-11 against COVID?,Alabama
20,"New COVID-19 Variant Emerges, Named ""Omicron"" - Alabama News",Alabama
21,Alabama Attorney General Steve Marshall files legal challenge against OSHA COVID-19 vaccine mandate,Alabama
22,New COVID-19 antiviral pill not a substitute for vaccination,Alabama
23,"‘Everyone wants Santa’: In Alabama, Santa Claus is returning to town after COVID-19, and demand is soaring",Alabama
24,"WATCH: Biden Says New COVID-19 Variant a Cause for Concern, Not Panic - Alabama News",Alabama
25,UAB receives funding to support early-career investigators impacted by COVID-19 pandemic,Alabama
26,"As Pandemic Fades, Mobile Planning 2022 Mardi Gras | Alabama News | US News",Alabama
27,"Daily News Digest - December 1, 2021",Alabama
28,Montgomery hospitals to follow federal COVID-19 vaccine mandate,Alabama
29,COVID survivor recovers despite doctors telling her she won’t make it,Alabama
30,Alabama hospitals caring for 28 children with COVID-19 on Friday,Alabama
31,"Rival, threat or obstacle: What are Georgia and Alabama to each other?",Alabama
32,Florida-Alabama TPO to meet in December,Alabama
33,Raiders sign LS Carson Tinker with Trent Sieg on reserve/COVID-19 list,Alabama
34,COVID-19 cases and hospitalization decline in Alabama as death rate remains stagnant,Alabama
35,Bama Tracker compiles COVID-19 data for Alabama,Alabama
36,"Has the curve flattened in your area? Compare Alabama, U.S. COVID spread using this tool",Alabama
37,Counties with highest COVID-19 infection rates in Alabama,Alabama
38,Alabama Department of Public Health announces KICK COVID campaign,Alabama
39,"Alabama schools report 5,970 COVID-19 cases already this school year",Alabama
40,"12,000 dead in Alabama due to COVID-19",Alabama
41,Teen city councilman in Alabama who voted against masks has Covid-19,Alabama
42,Alabama has highest COVID case positivity rate in the US,Alabama
43,Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law,Alabama
44,"Alabama sees promising decline in COVID-19 cases, hospitalizations",Alabama
45,South Alabama hospital to hold 1:30 pm COVID-19 news conference,Alabama
46,COVID-19 cases continue to decline in Alabama public schools,Alabama
47,'Totally unacceptable:' Gov. Ivey responds to President Biden's COVID-19 vaccine mandates,Alabama
48,"Alabama governor urging vaccinations as COVID-19 cases, hospitalizations climb",Alabama
49,"End dates set for Alabama COVID-19 public health order, state of emergency",Alabama
50,"Overwhelmed With COVID Patients, Alabama Hospitals Near Crisis Level",Alabama
51,Governor Ivey Announces Reallocation of $12.3 Million in CARES Act Funds for COVID-19 Nursing Shortage - Office of the Governor of Alabama,Alabama
52,"Alabama COVID-19 website, Bama Tracker, coming to an end",Alabama
53,UAB's Saag: Alabama sees uptick in COVID-19 cases after Memorial Day as residents lag behind in vaccinations,Alabama
54,"A Man Died After Being Turned Away From 43 ICUs At Capacity Due To COVID, Family Says",Alabama
55,"UAB expert: COVID now ‘a wildfire’ in Alabama, urges everyone to wear masks",Alabama
56,Alabama doctor says COVID surge is 'all-hands-on-deck moment' for state,Alabama
57,Alabama girl has fought off COVID-19 multiple times,Alabama
58,Back to school: Alabama health officials release updated COVID-19 guidance,Alabama
59,"COVID-19 in Alabama: Hospitalizations for Tuesday, Oct. 12 Fall Below 900 - Alabama News",Alabama
60,Alabama lawmakers' proposed bill would allow employees to sue over COVID-19 side effects,Alabama
